Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group2; 960.658261; 2026-07-06 14:08:53.039620; 967604 | 968678 | 969045 || 966163 | 16777216 | 968230 || 970692 | 966955 | 965377 || 966824 | 970066 | 968440 || 968945 | 966408 | 967179
Group2; 972.097121; 2026-07-06 14:09:04.478480; 967393 | 968387 | 968667 || 966201 | 16777216 | 968397 || 971008 | 967136 | 965443 || 966863 | 969939 | 968382 || 968882 | 966376 | 967167
Group2; 983.536729; 2026-07-06 14:09:15.918088; 967532 | 968716 | 968997 || 966143 | 16777216 | 968085 || 970577 | 966746 | 964995 || 966617 | 969819 | 968213 || 968816 | 966282 | 966954
Group2; 994.976815; 2026-07-06 14:09:27.358174; 967445 | 968479 | 968915 || 965984 | 16777216 | 968172 || 970472 | 966659 | 964917 || 966315 | 969471 | 968149 || 968568 | 966209 | 966974
Group2; 1006.416099; 2026-07-06 14:09:38.797458; 967362 | 968362 | 968596 || 965768 | 16777216 | 967907 || 970370 | 966530 | 964992 || 966359 | 969660 | 968136 || 968626 | 966205 | 966924
Group2; 1017.839641; 2026-07-06 14:09:50.221000; 967339 | 968426 | 968703 || 965704 | 16777216 | 967821 || 970356 | 966616 | 965111 || 966496 | 969781 | 968214 || 968627 | 966217 | 966963
Group2; 1029.279243; 2026-07-06 14:10:01.660602; 967262 | 968268 | 968565 || 965840 | 16777216 | 968238 || 970785 | 967001 | 965214 || 966627 | 969746 | 968242 || 968754 | 966254 | 966937
Group2; 1040.718757; 2026-07-06 14:10:13.100116; 967322 | 968305 | 968590 || 966033 | 16777216 | 968352 || 970853 | 967162 | 965513 || 966928 | 970216 | 968616 || 969028 | 966585 | 967136
Group2; 1052.158449; 2026-07-06 14:10:24.539808; 967617 | 968663 | 968860 || 965887 | 16777216 | 968364 || 970840 | 967028 | 965336 || 966804 | 970144 | 968669 || 969069 | 966582 | 967235
Group2; 1063.597903; 2026-07-06 14:10:35.979262; 967643 | 968620 | 968900 || 966251 | 16777216 | 968426 || 971005 | 967147 | 965288 || 966744 | 969848 | 968418 || 968820 | 966537 | 967234
Group2; 1075.021547; 2026-07-06 14:10:47.402906; 967540 | 968498 | 968814 || 965912 | 16777216 | 967947 || 970522 | 966719 | 965006 || 966455 | 969738 | 968072 || 968744 | 966178 | 966876
Group2; 1086.461101; 2026-07-06 14:10:58.842460; 967403 | 968407 | 968602 || 965838 | 16777216 | 967654 || 970255 | 966448 | 964842 || 966453 | 969731 | 967979 || 968630 | 965991 | 966727
Group2; 1097.9007; 2026-07-06 14:11:10.282059; 966932 | 967857 | 968152 || 965506 | 16777216 | 967835 || 970397 | 966647 | 965048 || 966389 | 969664 | 968119 || 968546 | 966102 | 966723
Group2; 1109.340439; 2026-07-06 14:11:21.721798; 967004 | 968024 | 968237 || 965751 | 16777216 | 967998 || 970462 | 966680 | 964926 || 966350 | 969521 | 968021 || 968593 | 966115 | 966740
Group2; 1120.763871; 2026-07-06 14:11:33.145230; 967167 | 968220 | 968794 || 965917 | 16777216 | 968153 || 970507 | 966806 | 965138 || 966557 | 969860 | 968401 || 968756 | 966369 | 966957
Group2; 1132.203536; 2026-07-06 14:11:44.584895; 967438 | 968293 | 968594 || 965820 | 16777216 | 968477 || 970793 | 967002 | 965307 || 966686 | 969992 | 968476 || 968964 | 966593 | 967150
Group2; 1143.64301; 2026-07-06 14:11:56.024369; 967896 | 968931 | 969246 || 966333 | 16777216 | 968394 || 970771 | 967034 | 965155 || 966685 | 969964 | 968495 || 969020 | 966569 | 967239
Group2; 1155.082887; 2026-07-06 14:12:07.464246; 967773 | 968699 | 969067 || 966475 | 16777216 | 968411 || 971009 | 967064 | 965322 || 966737 | 970242 | 968857 || 969064 | 966578 | 967390
