"run","setpoint_C","Tref_C","node","channel","flag","counts","R_mean","resid_mK","bias_SM_mK","win_min","sprt_sd_mK","sprt_drift_mK","settled"
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N29","TestSB","ok",3452686.3,148934.805790806,9.280049779818,-8.1,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N97","NTC1","ok",3449498.63333333,148735.866024317,34.3815295891829,-8.5,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N97","NTC2","ok",3458803.66666667,149317.046524611,-38.8453166928855,-8.5,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N97","TestSB","ok",3459257.78333333,149345.445970771,-42.4154384348583,-44.1,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N98","NTC1","ok",3437787.21666667,148006.374113619,126.746222145698,163.4,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N98","NTC2","ok",3360895.96666667,143271.240993476,738.854321004084,796.7,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N98","TestSB","FAULTY",3306275.18333333,139963.82684451,1179.88843123715,1181,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N99","NTC1","ok",3465140.38333333,149713.63325332,-88.6324786850139,-40.3,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N99","NTC2","ok",3458753.41666667,149313.904206936,-38.4502465720971,-7.5,30,5.8,4.4,TRUE
"B_20260705-091555_-37to-15",-35,-35.1667758052788,"N99","TestSB","ok",3445189.03333333,148467.168321989,68.344065824931,47.6,30,5.8,4.4,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N88","NTC1","ok",2871358.13333333,115182.13761055,-93.9811001690387,-4.5,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N88","NTC2","ok",2858871.9,114508.968907509,19.331742651012,-5.6,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N88","TestSB","ok",2862600.58333333,114709.781016132,-14.5478948306064,-90.2,30,10.6,-25.3,FALSE
